"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36035","Fulton County, New York","53743","*****","52162","*****","49973","5","1058","165","132","68","382","73","15","19","0","28","602","182","4","5","598","183","1581","*****","876","195","27","32","60","66","0","28","0","28","468","148","150","101","50","57","100","73"
"0500000US36083","Rensselaer County, New York","159431","*****","151781","*****","133232","57","9399","403","81","41","4113","241","0","28","281","160","4675","453","67","42","4608","460","7650","*****","4416","454","840","284","131","152","21","16","9","15","1236","363","997","278","243","152","754","260"
"0500000US36027","Dutchess County, New York","293894","*****","258924","*****","211310","336","28478","619","410","126","10600","312","79","73","1112","383","6935","685","305","131","6630","672","34970","*****","18848","1212","2352","613","651","357","64","36","38","45","10599","1228","2418","400","991","241","1427","379"
"0500000US36043","Herkimer County, New York","62505","*****","61196","*****","59147","98","714","112","150","62","322","67","15","17","85","92","763","137","54","47","709","144","1309","*****","769","184","135","133","0","28","9","13","78","119","228","121","90","67","48","38","42","60"
"0500000US36089","St. Lawrence County, New York","109558","*****","107026","*****","100770","89","2429","110","828","154","1125","91","68","3","154","91","1652","212","40","41","1612","210","2532","*****","996","153","213","83","0","28","28","30","0","28","973","125","322","89","213","72","109","50"
"0500000US36113","Warren County, New York","64480","*****","62891","*****","60623","15","816","169","166","67","671","50","32","46","24","26","559","180","0","28","559","180","1589","*****","1174","133","36","37","2","3","6","8","0","28","149","73","222","119","86","63","136","125"
"0500000US36055","Monroe County, New York","744248","*****","680617","*****","527127","374","107709","999","1246","189","26259","568","113","51","1272","410","16891","1197","768","300","16123","1162","63631","*****","39144","1422","5829","602","2132","489","402","172","7","12","10954","1036","5163","680","2153","536","3010","535"
"0500000US36111","Ulster County, New York","179303","*****","161327","*****","142515","260","9614","482","130","62","3389","438","131","188","490","270","5058","665","56","42","5002","661","17976","*****","9774","692","1001","241","238","126","63","46","0","28","4479","655","2421","514","1365","446","1056","300"
"0500000US36051","Livingston County, New York","63907","*****","61684","*****","58112","25","1696","114","115","65","833","111","22","37","68","57","838","149","22","25","816","145","2223","*****","1584","183","109","74","13","20","0","28","0","28","361","161","156","96","104","81","52","37"
"0500000US36039","Greene County, New York","47617","*****","44864","*****","40625","76","2763","208","233","120","516","77","5","8","166","108","556","260","0","25","556","260","2753","*****","2106","234","173","95","48","68","0","25","0","25","323","207","103","89","77","80","26","30"
"0500000US36003","Allegany County, New York","47025","*****","46281","*****","44391","48","639","64","133","44","523","76","12","17","66","48","517","100","0","25","517","100","744","*****","469","74","13","15","0","25","2","5","0","25","210","70","50","31","24","22","26","22"
"0500000US36009","Cattaraugus County, New York","77686","*****","76081","*****","70425","39","1224","161","2289","118","648","70","0","28","61","36","1434","228","92","51","1342","224","1605","*****","1014","130","23","22","91","54","0","28","0","28","358","113","119","51","37","28","82","44"
"0500000US36093","Schenectady County, New York","154883","*****","144176","*****","113649","639","14824","740","319","125","6967","363","66","83","3064","843","5287","701","887","344","4400","609","10707","*****","6015","593","1141","296","32","34","220","234","0","28","2116","560","1183","363","428","189","755","294"
"0500000US36123","Yates County, New York","25009","*****","24460","*****","23686","63","207","51","16","20","189","27","7","9","55","55","300","73","21","32","279","59","549","*****","375","121","19","29","37","32","0","22","0","22","109","97","9","15","2","7","7","13"
