"B306201 - Mean Travel time (1) by Means of transportation (7) (Workers 16 years and over who did not work at home)"
"Current date: 4/24/2020 1:41:18 AM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 7","Output","Mean Travel Time",
"Kings County, New York","New York County, New York","Public transportation","Estimate","49.4"
"Kings County, New York","New York County, New York","Public transportation","Margin of Error","0.3"
"Kings County, New York","New York County, New York","Bicycle or walked","Estimate","31.7"
"Kings County, New York","New York County, New York","Bicycle or walked","Margin of Error","1.1"
"Kings County, New York","New York County, New York","Taxicab, motorcycle or other method","Estimate","38.4"
"Kings County, New York","New York County, New York","Taxicab, motorcycle or other method","Margin of Error","3.9"
"Kings County, New York","New York County, New York","Worked at home","Estimate","0"
"Kings County, New York","New York County, New York","Worked at home","Margin of Error","0"
"Kings County, New York","Queens County, New York","Total, means of transportation","Estimate","51.2"
"Kings County, New York","Queens County, New York","Total, means of transportation","Margin of Error","0.9"
"Kings County, New York","Queens County, New York","Car, truck, or van -- Drove alone","Estimate","38.8"
"Kings County, New York","Queens County, New York","Car, truck, or van -- Drove alone","Margin of Error","0.9"
"Kings County, New York","Queens County, New York","Car, truck, or van -- Carpooled","Estimate","41.7"
"Kings County, New York","Queens County, New York","Car, truck, or van -- Carpooled","Margin of Error","2.4"
"Kings County, New York","Queens County, New York","Public transportation","Estimate","62.9"
"Kings County, New York","Queens County, New York","Public transportation","Margin of Error","1.1"
"Kings County, New York","Queens County, New York","Bicycle or walked","Estimate","25"
"Kings County, New York","Queens County, New York","Bicycle or walked","Margin of Error","2.1"
"Kings County, New York","Queens County, New York","Taxicab, motorcycle or other method","Estimate","37.3"
"Kings County, New York","Queens County, New York","Taxicab, motorcycle or other method","Margin of Error","8.1"
"Kings County, New York","Queens County, New York","Worked at home","Estimate","0"
"Kings County, New York","Queens County, New York","Worked at home","Margin of Error","0"
"Kings County, New York","Richmond County, New York","Total, means of transportation","Estimate","46.6"
"Kings County, New York","Richmond County, New York","Total, means of transportation","Margin of Error","2.5"
"Kings County, New York","Richmond County, New York","Car, truck, or van -- Drove alone","Estimate","35.3"
"Kings County, New York","Richmond County, New York","Car, truck, or van -- Drove alone","Margin of Error","2.2"
"Kings County, New York","Richmond County, New York","Car, truck, or van -- Carpooled","Estimate","39.2"
"Kings County, New York","Richmond County, New York","Car, truck, or van -- Carpooled","Margin of Error","4.1"
"Kings County, New York","Richmond County, New York","Public transportation","Estimate","65.2"
"Kings County, New York","Richmond County, New York","Public transportation","Margin of Error","4"
"Kings County, New York","Richmond County, New York","Bicycle or walked","Estimate","15.8"
"Kings County, New York","Richmond County, New York","Bicycle or walked","Margin of Error","3"
"Kings County, New York","Richmond County, New York","Taxicab, motorcycle or other method","Estimate","45"
"Kings County, New York","Richmond County, New York","Taxicab, motorcycle or other method","Margin of Error","11.8"
"Kings County, New York","Richmond County, New York","Worked at home","Estimate","0"
"Kings County, New York","Richmond County, New York","Worked at home","Margin of Error","0"
"New York County, New York","Bronx County, New York","Total, means of transportation","Estimate","42"
"New York County, New York","Bronx County, New York","Total, means of transportation","Margin of Error","1.3"
"New York County, New York","Bronx County, New York","Car, truck, or van -- Drove alone","Estimate","31.1"
"New York County, New York","Bronx County, New York","Car, truck, or van -- Drove alone","Margin of Error","1.9"
